Fs,80.00
Logging time,10800
h,temp
-0.17,19.5
-0.17,19.5
-0.17,19.49
-0.26,19.49
-0.08,19.5
-0.08,19.49
0.02,19.49
-0.17,19.49
0.02,19.5
-0.08,19.49
-0.17,19.49
-0.08,19.49
-0.08,19.49
-0.26,19.5
0.02,19.5
0.2,19.49
-0.17,19.49
-0.26,19.49
-0.08,19.5
0.11,19.5
-0.17,19.49
-0.17,19.5
-0.08,19.5
-0.26,19.5
-0.08,19.49
0.11,19.5
-0.08,19.5
-0.36,19.5
-0.17,19.5
-0.08,19.5
-0.08,19.5
-0.26,19.5
-0.08,19.5
0.02,19.5
-0.08,19.5
0.11,19.5
-0.36,19.5
-0.08,19.5
0.11,19.5
-0.08,19.5
-0.17,19.5
0.02,19.5
-0.26,19.5
-0.17,19.5
-0.17,19.5
-0.08,19.5
-0.08,19.5
-0.08,19.5
-0.17,19.5
0.11,19.5
-0.08,19.5
-0.17,19.5
-0.36,19.5
-0.17,19.5
0.02,19.5
0.02,19.5
-0.08,19.5
-0.17,19.5
-0.17,19.5
0.02,19.5
-0.26,19.5
0.02,19.5
-0.26,19.5
0.11,19.5
-0.17,19.5
-0.08,19.5
0.02,19.49
-0.17,19.5
0.11,19.5
0.11,19.5
-0.17,19.5
0.02,19.5
-0.08,19.5
0.02,19.5
-0.36,19.5
0.02,19.5
-0.08,19.5
0.02,19.5
-0.17,19.5
0.02,19.5
-0.08,19.5
0.02,19.5
-0.08,19.5
-0.08,19.5
-0.08,19.5
-0.08,19.5
-0.26,19.5
0.02,19.5
-0.08,19.5
0.02,19.5
-0.36,19.51
-0.26,19.51
-0.17,19.51
-0.08,19.5
-0.08,19.5
-0.08,19.5
-0.26,19.5
0.02,19.5
0.11,19.5
-0.26,19.51
-0.08,19.51
-0.08,19.51
-0.08,19.51
-0.17,19.51
0.02,19.5
0.02,19.5
-0.17,19.51
-0.17,19.51
0.11,19.5
0.02,19.51
-0.08,19.5
-0.17,19.51
-0.26,19.51
0.02,19.51
-0.17,19.51
0.02,19.5
0.02,19.5
-0.08,19.5
-0.08,19.5
0.02,19.51
0.02,19.5
0.11,19.5
-0.17,19.51
-0.17,19.51
-0.26,19.51
-0.08,19.51
-0.26,19.51
-0.08,19.51
0.02,19.51
-0.08,19.51
-0.17,19.51
-0.08,19.51
-0.08,19.51
0.2,19.5
0.11,19.5
-0.17,19.51
-0.08,19.5
-0.17,19.51
-0.26,19.51
-0.26,19.51
0.02,19.51
-0.17,19.51
0.02,19.51
-0.08,19.51
-0.08,19.51
0.02,19.51
0.02,19.51
-0.26,19.51
-0.17,19.5
-0.17,19.51
-0.26,19.51
0.02,19.51
0.02,19.51
0.11,19.51
-0.26,19.51
0.11,19.51
0.11,19.51
-0.17,19.51
-0.17,19.51
0.02,19.51
-0.17,19.51
-0.17,19.51
-0.17,19.51
-0.08,19.51
-0.17,19.51
-0.17,19.51
-0.08,19.51
-0.08,19.51
0.02,19.51
0.02,19.51
-0.08,19.51
0.02,19.51
-0.26,19.51
-0.17,19.51
-0.17,19.51
0.11,19.51
0.02,19.51
-0.08,19.51
